[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/ | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001250s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001361s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.002189s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.002393s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001856s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002007s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.021509s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.008677s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | SQL: SELECT * FROM `think_article` WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000284s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001624s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001716s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.030344s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030444s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000872s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000849s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000606s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.002111s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004714s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.003095s ]
[ 2015-02-08T00:00:33+08:00 ] /thinkphpTest/admin.php/Index/index/p/1/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.003431s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run CheckRoute Behavior [ RunTime:0.002136s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ route_check ] --END-- [ RunTime:0.002471s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001576s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001789s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004707s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.007770s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT 0,5   [ RunTime:0.000854s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run LocationTemplate Behavior [ RunTime:0.001789s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_template ] --END-- [ RunTime:0.001877s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run ParseTemplate Behavior [ RunTime:0.025695s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025785s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run ContentReplace Behavior [ RunTime:0.000888s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run TokenBuild Behavior [ RunTime:0.000866s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000613s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run ShowRuntime Behavior [ RunTime:0.001219s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003751s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Run ShowPageTrace Behavior [ RunTime:0.002266s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/draft | INFO: Tag[ view_end ] --END-- [ RunTime:0.002404s ]
[ 2015-02-08T00:00:41+08:00 ] /thinkphpTest/admin.php/Index/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001516s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001828s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000840s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000972s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.007958s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.004431s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT 10,5   [ RunTime:0.000313s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000600s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000656s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.023668s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023761s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ContentReplace Behavior [ RunTime:0.000485s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run TokenBuild Behavior [ RunTime:0.000407s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000194s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001079s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002308s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000663s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000769s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001221s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001391s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000822s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000933s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.008645s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.005908s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT -5,5   [ RunTime:0.000203s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000563s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000619s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.029763s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029846s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000501s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000433s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000223s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001143s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002474s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000523s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000598s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001874s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002007s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001893s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004295s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.008293s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT 10,5   [ RunTime:0.000201s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.001478s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001541s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.024785s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024878s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ContentReplace Behavior [ RunTime:0.001134s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001789s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000662s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001179s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005011s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001226s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001328s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.004124s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.004611s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001879s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002004s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004784s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.059813s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT -5,5   [ RunTime:0.000211s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001335s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001392s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.032570s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032655s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000870s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000832s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000627s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001170s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003653s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.001113s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.001226s ]
